Image Name,PID,Session Name,Session#,Mem Usage
chrome.exe,9876,Console,1,"37,460 K"
svchost.exe,3208,Services,0,"16,304 K"
chrome.exe,8024,Console,1,"14,884 K"
RuntimeBroker.exe,9892,Console,1,"7,596 K"
HPSupportSolutionsFrameworkService.exe,5644,Services,0,"24,640 K"
svchost.exe,10424,Services,0,"10,840 K"
SgrmBroker.exe,10764,Services,0,"5,000 K"
svchost.exe,10716,Services,0,"29,908 K"
svchost.exe,9424,Services,0,"8,480 K"
svchost.exe,9724,Services,0,"14,152 K"
ApplicationFrameHost.exe,9360,Console,1,"30,112 K"
SystemSettings.exe,8664,Console,1,"66,892 K"
powershell.exe,7888,Console,1,"44,304 K"
conhost.exe,2232,Console,1,"10,776 K"
powershell.exe,11980,Console,1,"42,452 K"
conhost.exe,3252,Console,1,"8,836 K"
jupyter.exe,9388,Console,1,"4,308 K"
python.exe,8080,Console,1,"6,676 K"
jupyter-notebook.exe,5868,Console,1,"4,308 K"
python.exe,10532,Console,1,"20,212 K"
OpenWith.exe,3160,Console,1,"26,728 K"
python.exe,3080,Console,1,"36,348 K"
powershell.exe,11776,Console,1,"45,140 K"
conhost.exe,2172,Console,1,"8,916 K"
powershell.exe,2888,Console,1,"48,628 K"
conhost.exe,10448,Console,1,"10,284 K"
cmd.exe,8324,Console,1,"2,288 K"
taskhostw.exe,2100,Console,1,"20,172 K"
rdrleakdiag.exe,9980,Console,1,"2,068 K"
LockApp.exe,12144,Console,1,"37,132 K"
RuntimeBroker.exe,11140,Console,1,"28,668 K"
Taskmgr.exe,5724,Console,1,"51,680 K"
svchost.exe,9708,Services,0,"7,964 K"
svchost.exe,5976,Services,0,"5,104 K"
dllhost.exe,1100,Console,1,"20,096 K"
svchost.exe,12404,Services,0,"6,412 K"
RuntimeBroker.exe,3292,Console,1,"56,612 K"
explorer.exe,4492,Console,1,"14,444 K"
rundll32.exe,12604,Console,1,"6,908 K"
sedsvc.exe,13172,Services,0,"12,508 K"
WinStore.App.exe,5816,Console,1,"43,404 K"
